project_name,observation_type,observation_type_other,observation_details,classification,risk_rating,close_out_details,status,inspected_by,created_at,updated_at,source_report_group,source_created_by,source_modified_by
ROSEWOOD,Fall Protection,Loose Materials at Height,"It was observed that loose materials were present at height, posing a risk of falling objects.",Unsafe Act,High,"The loose materials were removed, and the team was strictly instructed not to leave any materials unsecured after completing the work.",Closed,25821,2026-02-07 05:00:53,2026-02-07 05:00:55,FF-HSE-0501,Hamza Asi,Hamza Asi
SEVEN,Housekeeping,,Observed Plastic and support channels were observed near the opening. Workers were instructed to remove them from the work area to prevent trips and fall hazards at Zone 1 FEC roof.,Unsafe Condition,Low,"Plastic and support channels were removed from the work area, eliminating trip and fall hazards at Zone 1, FEC Roof.",Closed,26083,2026-02-07 05:00:53,2026-02-07 05:00:54,FF-HSE-0501,Amjed Farooqi,Amjed Farooqi
SEVEN,Fire Protection,,"Welding /cutting sparks flew outward from the work area during the activity, extending beyond the work zone. FEC",Unsafe Condition,High,The welding/cutting activity was stopped immediately. The work area was properly covered with fire blanked.,Closed,26083,2026-02-07 05:02:12,2026-02-07 05:02:13,FF-HSE-0501,Amjed Farooqi,Amjed Farooqi
MISK,Fire Protection,,A fire extinguisher was found horizontally on a scissor lift platform with a barricade placed on top. Improper positioning may affect operation during an emergency.,Unsafe Condition,Medium,"Instructed to ensure fire extinguishers are stored upright in designated locations, free from obstruction, and easily accessible always.",Closed,12187,2026-02-07 05:07:50,2026-02-07 05:07:56,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Tools and Machines,,The electrical cable attached to the non-insulated surface poses the risk of electrocution and potential damage to the cable.,Unsafe Condition,Medium,The responsible supervisor was informed to secure the cable away from non-insulated surfaces to prevent potential hazards.,Closed,26172,2026-02-07 05:09:01,2026-02-07 05:09:05,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Housekeeping,,"Poor housekeeping was observed, posing the risk of an unsafe working environment, and in addition to slip, trip & fall hazards.",Unsafe Condition,Medium,Housekeeping is done on the premises. The responsible supervisor instructed to maintain good housekeeping at all times to prevent of the potential hazard,Closed,26080,2026-02-07 05:10:07,2026-02-07 05:10:19,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Tools and Machines,,"A cutting machine was observed operating with a domestic-type cable plug, which is not permitted for site electrical equipment.",Unsafe Condition,Medium,Replace the domestic plug with an approved industrial plug and ensure all electrical equipment complies with site electrical safety standards.,Closed,10223,2026-02-07 05:12:00,2026-02-07 05:12:02,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Housekeeping,,"Poor housekeeping was in the working area, with combustible materials scattered on the floor, creating a potential fire hazard",Unsafe Condition,Medium,Clean and organize the work area immediately. Store combustible materials properly in designated storage areas.,Closed,13108,2026-02-07 05:13:17,2026-02-07 05:13:25,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Tools and Machines,,"An uninspected power tool was found at the worksite, posing a risk of electrical shock, short circuit, or mechanical failure.",Unsafe Condition,Medium,"Instruct all power tools to be inspected and approved before use, and enforce regular checks to prevent accidents. ",Closed,21102,2026-02-07 05:15:11,2026-02-07 05:15:15,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Barricades and Signs,,"The duct installation activity is ongoing without establishing the exclusion zone, which poses the risk of unauthorized entry and addition to falling objects.",Unsafe Condition,Medium,A proper exclusion zone was established around the Scissor lift to prevent unauthorized entry and falling objects.,Closed,12242,2026-02-07 05:16:05,2026-02-07 05:16:09,FF-HSE-0501,Asim Khan,Asim Khan
